Trivial name|Smiles|Batch No|Conc uM|Relative cell count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster MitoStress|Cluster Na+/K+ ATPase|Cluster Protein synthesis|Cluster Pyrimidine synthesis|Cluster Tubulin|Cluster Uncoupling||
Monensin A sodium salt, Rumensin, Coban 45|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|1|3|79|81.9|0|0|82.3|0|82|24.4|80.2|51.8|46.6|70.8|0|77.6|67.4||
Monensin A sodium salt, Rumensin, Coban 45|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|1|10|90|63.2|0|0|62.9|0|65.3|32.3|52.8|59.5|45.2|58.4|0|58.3|61.8||
Monensin A sodium salt, Rumensin, Coban 45|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|1|30|90|69.6|0|0|67.5|0|67.2|27.7|63.8|64|41|58.6|0|69.5|64.8||
Merbromin|O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21|1|30|99|10.4|0.1|0|40.3|0|36.4|1.8|23.2|0|12.6|47|0|39.7|60.6||
Dihydroergotamine tartrate|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21|1|10|92|20|0|0|42.6|0|42.4|33.5|65.1|66.2|1.5|13.7|0|51.1|23.7||
Dihydroergotamine tartrate|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21|1|30|100|68.9|0|0|66.8|0|66.2|23.5|90.4|61.7|16.9|40.4|0|64.7|41||
Dilazep dihydrochloride|COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC|1|3|101|9.5|0|0|54.7|0|56.8|29.8|79.6|63.7|15.1|26.1|0|51.1|26.8||
Dilazep dihydrochloride|COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC|1|10|102|53.5|0|0|74.1|0|76.2|27.1|85.9|52.6|36.4|48.2|0|69.5|47.7||
Epirizole|COc1cc(C)nc(-n2nc(C)cc2OC)n1|1|10|94|5.5|0|13.6|42.7|11.1|40.8|0|53.5|7.2|24.9|8.1|0|45|18.4||
Etofenamate|O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1|1|30|82|30.9|0|0|72.1|0|70.1|37.2|72.1|36.6|32.5|57.6|0|77.8|39.6||
Drofenine hydrochloride|CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1|1|10|113|19.3|0|0|75.4|0|75.9|25.3|79.1|31.8|35|44.8|0|69.3|44||
Drofenine hydrochloride|CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1|1|30|98|63.6|0|0|77.8|0|75|12.4|96.8|37.3|27.7|49.5|0|68|47.6||
Thiethylperazine malate|CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2|1|10|103|59.4|0|0|78.3|0|77.6|18.4|90.8|37|36.8|58.7|0|71.3|55.7||
Tiletamine hydrochloride|CCNC1(c2cccs2)CCCCC1=O|1|30|87|5.9|0|21.1|34.9|20.5|29.2|0|42.4|16|24.8|4.8|0|44|11.7||
Harmaline hydrochloride dihydrate|COc1ccc2c3c([nH]c2c1)C(C)=NCC3|1|30|89|14.3|0|0|50.7|0|50.7|24.4|78.8|70|19.8|40.4|0|57.9|35.4||
Harmalol hydrochloride dihydrate|CC1=NCCc2c1[nH]c1cc(O)ccc21|1|30|87|5|26.9|0|15.2|13.6|18|26.7|20.7|15|8|14.1|0|25.1|31.4||
Harmane hydrochloride|Cc1nccc2c1[nH]c1ccccc12|1|30|100|10.4|0|0|53.9|0|49.4|24.2|76.8|48.8|2.9|36.2|0|54.8|37.8||
Harmine hydrochloride|COc1ccc2c(c1)[nH]c1c(C)nccc12|1|10|82|12.6|0|15|44|10.4|51.2|20.9|68.8|49.9|3.4|37.2|0|48.9|29||
Harmine hydrochloride|COc1ccc2c(c1)[nH]c1c(C)nccc12|1|30|79|33.2|32.3|6.4|10.6|54|21|33.7|57.4|39.5|0|2.3|9.2|28.9|22.8||
