Trivial Name|BatchNo|Conc uM|Smiles|Rel Cell Count|Induction|Cluster AKT/PI3K/MTOR|Cluster Aurora|Cluster BET|Cluster DNA Synthesis|Cluster HDAC|Cluster HSP90|Cluster L/CH|Cluster Na+/K+ ATPase|Cluster Protein Synthesis|Cluster Pyrimidine Synthesis|Cluster Tubulin|Cluster Uncoupling
Hexestrol|1|30.0|CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1|85|11.6|0.0|0.0|68.9|0.0|67.0|8.6|66.8|45.4|24.9|0.0|78.2|36.5
Monensin A sodium salt, Rumensin, Coban 45|1|1.0|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|95|77.5|0.0|0.0|72.8|0.0|74.3|26.3|71.9|41.3|65.2|0.0|72.7|65.6
Monensin A sodium salt, Rumensin, Coban 45|1|3.0|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|79|81.9|0.0|0.0|82.3|0.0|82.0|24.4|80.2|46.6|70.8|0.0|77.6|67.4
Monensin A sodium salt, Rumensin, Coban 45|1|10.0|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|90|63.2|0.0|0.0|62.9|0.0|65.3|32.3|52.8|45.2|58.4|0.0|58.3|61.8
Monensin A sodium salt, Rumensin, Coban 45|1|30.0|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1|90|69.6|0.0|0.0|67.5|0.0|67.2|27.7|63.8|41.0|58.6|0.0|69.5|64.8
Merbromin|1|30.0|O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21|99|10.4|0.1|0.0|40.3|0.0|36.4|1.8|23.2|12.6|47.0|0.0|39.7|60.6
Dihydroergotamine tartrate|1|10.0|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21|92|20.0|0.0|0.0|42.6|0.0|42.4|33.5|65.1|1.5|13.7|0.0|51.1|23.7
Dihydroergotamine tartrate|1|30.0|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21|100|68.9|0.0|0.0|66.8|0.0|66.2|23.5|90.4|16.9|40.4|0.0|64.7|41.0
Dilazep dihydrochloride|1|3.0|COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC|101|9.5|0.0|0.0|54.7|0.0|56.8|29.8|79.6|15.1|26.1|0.0|51.1|26.8
Dilazep dihydrochloride|1|10.0|COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC|102|53.5|0.0|0.0|74.1|0.0|76.2|27.1|85.9|36.4|48.2|0.0|69.5|47.7
Epirizole|1|10.0|COc1cc(C)nc(-n2nc(C)cc2OC)n1|94|5.5|0.0|13.6|42.7|11.1|40.8|0.0|53.5|24.9|8.1|0.0|45.0|18.4
Etofenamate|1|30.0|O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1|82|30.9|0.0|0.0|72.1|0.0|70.1|37.2|72.1|32.5|57.6|0.0|77.8|39.6
Drofenine hydrochloride|1|10.0|CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1|113|19.3|0.0|0.0|75.4|0.0|75.9|25.3|79.1|35.0|44.8|0.0|69.3|44.0
